統計期,統計區,總計 (公噸),一般垃圾 (公噸),巨大垃圾 (公噸),資源垃圾 (公噸),廚餘 (公噸),平均每人每日一般廢棄物產生量 (公斤),ratio
2001-10-01,新北市,103522,98135,0,5387,0,0.929,18.21700389827362
2001-10-01,臺北市,129355,124260,0,5095,0,1.584,24.388616290480865
2001-10-01,桃園市,53666,50141,0,3525,0,0.986,14.224397163120567
2001-10-01,臺中市,59158,49564,0,9593,0,0.786,5.1666840404461585
2001-10-01,臺中市(舊),21146,15538,0,5608,0,0.698,2.7706847360912983
2001-10-01,臺中縣,38012,34026,0,3985,0,0.845,8.538519447929737
2001-10-01,臺南市,54848,48733,0,6115,0,0.961,7.969419460343418
2001-10-01,臺南市(舊),24268,20568,0,3700,0,1.065,5.558918918918919
2001-10-01,臺南縣,30580,28165,0,2415,0,0.892,11.662525879917185
2001-10-01,高雄市,70873,63981,0,6892,0,0.839,9.283372025536854
2001-10-01,高雄市(舊),38759,34540,0,4219,0,0.837,8.186774117089358
2001-10-01,高雄縣,32114,29442,0,2673,0,0.842,11.014590347923681
2001-10-01,宜蘭縣,13747,12486,0,1261,0,0.952,9.901665344964314
2001-10-01,新竹縣,12516,11856,0,660,0,0.916,17.963636363636365
2001-10-01,苗栗縣,15982,14830,0,1152,0,0.937,12.87326388888889
2001-10-01,彰化縣,31349,29392,0,1957,0,0.772,15.018906489524783
2001-10-01,南投縣,12520,11537,0,983,0,0.757,11.736520854526958
2001-10-01,雲林縣,19950,18629,0,1321,0,0.868,14.10219530658592
2001-10-01,嘉義縣,14015,12971,0,1044,0,0.804,12.42432950191571
2001-10-01,屏東縣,26581,25574,0,1007,0,0.946,25.39622641509434
2001-10-01,臺東縣,8833,7503,0,1331,0,1.187,5.637114951164538
2001-10-01,花蓮縣,13553,12299,0,1254,0,1.247,9.807814992025518
2001-10-01,澎湖縣,2894,2589,0,305,0,1.018,8.488524590163934
2001-10-01,基隆市,11041,8983,0,2058,0,0.912,4.36491739552964
2001-10-01,新竹市,12219,10653,0,1566,0,1.059,6.802681992337165
2001-10-01,嘉義市,8920,8636,0,284,0,1.074,30.408450704225352
2001-10-01,金門縣,1839,1726,0,113,0,1.047,15.274336283185841
2001-10-01,連江縣,0,0,0,0,0,0,NaN
2001-11-01,新北市,104292,99154,0,5137,0,0.966,19.301927194860813
2001-11-01,臺北市,88312,84061,0,4251,0,1.117,19.774406022112444
2001-11-01,桃園市,50434,47333,0,3102,0,0.956,15.25886524822695
2001-11-01,臺中市,55204,46265,0,8939,0,0.75,5.17563485848529
2001-11-01,臺中市(舊),19560,14272,0,5289,0,0.667,2.698430705237285
2001-11-01,臺中縣,35644,31993,0,3650,0,0.805,8.765205479452055
2001-11-01,臺南市,48943,42832,0,6110,0,0.886,7.0101472995090015
2001-11-01,臺南市(舊),21044,17187,0,3857,0,0.954,4.456053927923256
2001-11-01,臺南縣,27899,25645,0,2254,0,0.84,11.377551020408163
2001-11-01,高雄市,64773,58782,0,5991,0,0.793,9.811717576364547
2001-11-01,高雄市(舊),35079,31871,0,3208,0,0.783,9.934850374064839
2001-11-01,高雄縣,29694,26911,0,2784,0,0.804,9.666307471264368
2001-11-01,宜蘭縣,13041,11827,0,1214,0,0.933,9.742174629324547
2001-11-01,新竹縣,12150,11453,0,697,0,0.917,16.431850789096128
2001-11-01,苗栗縣,15024,13862,0,1162,0,0.909,11.929432013769363
2001-11-01,彰化縣,29802,28228,0,1574,0,0.758,17.933926302414232
2001-11-01,南投縣,11339,10454,0,885,0,0.705,11.812429378531073
2001-11-01,雲林縣,18990,17712,0,1277,0,0.853,13.870007830853563
2001-11-01,嘉義縣,12346,11309,0,1037,0,0.731,10.90549662487946
2001-11-01,屏東縣,25382,24375,0,1007,0,0.933,24.205561072492554
2001-11-01,臺東縣,8225,7159,0,1065,0,1.141,6.722065727699531
2001-11-01,花蓮縣,12563,11276,0,1287,0,1.195,8.76146076146076
2001-11-01,澎湖縣,2670,2369,0,301,0,0.969,7.870431893687708
2001-11-01,基隆市,10315,8790,0,1524,0,0.88,5.767716535433071
2001-11-01,新竹市,11347,9674,0,1673,0,1.015,5.7824267782426775
2001-11-01,嘉義市,8316,7954,0,362,0,1.034,21.972375690607734
2001-11-01,金門縣,1879,1661,0,218,0,1.103,7.6192660550458715
2001-11-01,連江縣,0,0,0,0,0,0,NaN
2001-12-01,新北市,106967,101930,0,5037,0,0.96,20.236251737145125
2001-12-01,臺北市,62403,58052,0,4351,0,0.764,13.342220179269134
2001-12-01,桃園市,51554,48490,0,3064,0,0.944,15.825718015665796
2001-12-01,臺中市,56839,47549,0,9290,0,0.739,5.118299246501615
2001-12-01,臺中市(舊),20463,14866,0,5597,0,0.674,2.6560657495086653
2001-12-01,臺中縣,36376,32683,0,3693,0,0.782,8.84998646087192
2001-12-01,臺南市,51148,45168,0,5980,0,0.896,7.553177257525084
2001-12-01,臺南市(舊),22098,18306,0,3791,0,0.97,4.8288050646267475
2001-12-01,臺南縣,29050,26861,0,2189,0,0.847,12.27089995431704
2001-12-01,高雄市,69511,63547,0,5964,0,0.823,10.655097250167673
2001-12-01,高雄市(舊),38185,35e3,0,3186,0,0.824,10.98556183301946
2001-12-01,高雄縣,31326,28547,0,2779,0,0.821,10.272400143936668
2001-12-01,宜蘭縣,13490,12410,0,1080,0,0.934,11.49074074074074
2001-12-01,新竹縣,11793,11181,0,612,0,0.859,18.269607843137255
2001-12-01,苗栗縣,15673,14531,0,1142,0,0.917,12.72416812609457
2001-12-01,彰化縣,31035,29216,0,1819,0,0.763,16.06157229246839
2001-12-01,南投縣,12067,11106,0,961,0,0.746,11.556711758584807
2001-12-01,雲林縣,19582,18242,0,1340,0,0.851,13.613432835820895
2001-12-01,嘉義縣,14204,13235,0,969,0,0.814,13.658410732714138
2001-12-01,屏東縣,26096,25149,0,947,0,0.928,26.55649419218585
2001-12-01,臺東縣,8327,7153,0,1174,0,1.118,6.092844974446337
2001-12-01,花蓮縣,13239,11871,0,1368,0,1.234,8.677631578947368
2001-12-01,澎湖縣,2775,2411,0,364,0,0.974,6.623626373626373
2001-12-01,基隆市,10669,9195,0,1474,0,0.881,6.2381275440976935
2001-12-01,新竹市,12120,10446,0,1674,0,1.048,6.240143369175628
2001-12-01,嘉義市,8886,8401,0,486,0,1.069,17.286008230452676
2001-12-01,金門縣,1826,1635,0,191,0,1.034,8.56020942408377
2001-12-01,連江縣,0,0,0,0,0,0,NaN
2002-01-01,新北市,113703,107910,0,5792,0,1.02,18.630870165745858
2002-01-01,臺北市,86783,69385,0,17398,0,1.063,3.988102080698931
2002-01-01,桃園市,52251,49003,0,3248,0,0.956,15.087130541871922
2002-01-01,臺中市,55271,45343,0,9928,0,0.719,4.56718372280419
2002-01-01,臺中市(舊),20887,15469,0,5418,0,0.688,2.8551125876707273
2002-01-01,臺中縣,34384,29874,0,4511,0,0.739,6.622478386167147
2002-01-01,臺南市,53723,47043,0,6680,0,0.941,7.042365269461078
2002-01-01,臺南市(舊),24477,20350,0,4127,0,1.074,4.930942573297795
2002-01-01,臺南縣,29246,26693,0,2553,0,0.852,10.45554249902076
2002-01-01,高雄市,73205,66474,0,6731,0,0.867,9.875798544049918
2002-01-01,高雄市(舊),40877,36944,0,3933,0,0.882,9.393338418510043
2002-01-01,高雄縣,32328,29530,0,2798,0,0.848,10.553967119370979
2002-01-01,宜蘭縣,14557,12940,0,1617,0,1.008,8.00247371675943
2002-01-01,新竹縣,12959,12264,0,696,0,0.943,17.620689655172413
2002-01-01,苗栗縣,15811,14667,0,1144,0,0.926,12.820804195804195
2002-01-01,彰化縣,33285,31480,0,1805,0,0.817,17.440443213296398
2002-01-01,南投縣,12061,10977,0,1084,0,0.748,10.126383763837639
2002-01-01,雲林縣,18514,17114,0,1401,0,0.804,12.215560314061385
2002-01-01,嘉義縣,16090,15028,0,1061,0,0.922,14.163996229971724
2002-01-01,屏東縣,25825,24877,0,948,0,0.917,26.241561181434598
2002-01-01,臺東縣,8314,7309,0,1005,0,1.114,7.272636815920398
2002-01-01,花蓮縣,13913,12274,0,1638,0,1.296,7.493284493284493
2002-01-01,澎湖縣,2674,2365,0,309,0,0.934,7.6537216828478964
2002-01-01,基隆市,10908,8832,0,2076,0,0.9,4.254335260115607
2002-01-01,新竹市,12253,10495,0,1758,0,1.06,5.969852104664391
2002-01-01,嘉義市,8489,8040,0,449,0,1.022,17.906458797327396
2002-01-01,金門縣,1785,1639,0,146,0,1.007,11.226027397260275
