統計期,統計區,總計 (公噸),一般垃圾 (公噸),巨大垃圾 (公噸),資源垃圾 (公噸),廚餘 (公噸),平均每人每日一般廢棄物產生量 (公斤)
2011-06-01,連江縣,468,209,42,137,80,1.56
2001-05-01,新竹縣,14478,13281,0,1197,0,1.065
2011-07-01,新北市,85310,29835,2664,36170,16641,0.705
2001-05-01,苗栗縣,16584,15424,0,1160,0,0.973
2011-07-01,臺北市,81876,31765,1388,40748,7974,1.002
2001-05-01,彰化縣,34716,32783,0,1933,0,0.855
2011-07-01,桃園市,59963,26952,686,24210,8115,0.964
2001-05-01,南投縣,13275,12648,0,628,0,0.8
2011-07-01,臺中市,66558,34125,1325,25186,5921,0.808
2001-05-01,雲林縣,20470,19684,0,786,0,0.89
2011-07-01,臺南市,54378,25528,1270,22125,5455,0.935
2001-05-01,嘉義縣,16387,15423,0,963,0,0.943
2011-07-01,高雄市,85674,41599,1291,35909,6876,0.997
2001-05-01,屏東縣,28531,27393,0,1137,0,1.016
2011-07-01,宜蘭縣,14802,6142,286,5786,2588,1.039
2001-05-01,臺東縣,9052,7986,0,1066,0,1.218
2011-07-01,新竹縣,15211,8475,12,5539,1185,0.952
2001-05-01,花蓮縣,14177,13376,0,801,0,1.302
2011-07-01,苗栗縣,14875,8065,180,5542,1088,0.856
2001-05-01,澎湖縣,2995,2728,0,267,0,1.074
2011-07-01,彰化縣,38263,22090,394,11414,4366,0.946
2001-05-01,基隆市,12853,10938,0,1914,0,1.065
2011-07-01,南投縣,14535,7834,100,4860,1741,0.894
2001-05-01,新竹市,12872,11492,0,1379,0,1.121
2011-07-01,雲林縣,16262,10439,177,4363,1283,0.734
2001-05-01,嘉義市,9241,9056,0,185,0,1.118
2011-07-01,嘉義縣,15454,9538,276,4827,813,0.923
2001-05-01,金門縣,2143,2007,0,136,0,1.248
2011-07-01,屏東縣,22880,13923,671,6908,1378,0.85
2001-05-01,連江縣,0,0,0,0,0,0
2011-07-01,臺東縣,6926,4264,104,1992,566,0.974
2001-06-01,新北市,106699,102271,0,4428,0,0.991
2011-07-01,花蓮縣,9005,4588,94,3489,833,0.861
2001-06-01,臺北市,72285,66286,0,5999,0,0.912
2011-07-01,澎湖縣,3247,1728,56,1104,359,1.084
2001-06-01,桃園市,55150,52100,0,3050,0,1.059
2011-07-01,基隆市,12140,5754,237,5150,998,1.026
2001-06-01,臺中市,61398,52888,0,8509,0,0.829
2011-07-01,新竹市,13164,6327,350,5266,1220,1.017
2001-06-01,臺中市(舊),21310,16630,0,4680,0,0.731
2011-07-01,嘉義市,8868,4484,286,3232,865,1.051
2001-06-01,臺中縣,40088,36258,0,3830,0,0.893
2011-07-01,金門縣,1787,1039,47,559,142,0.577
2001-06-01,臺南市,55907,51708,0,4199,0,1.011
2011-07-01,連江縣,487,222,52,122,91,1.572
2001-06-01,臺南市(舊),23695,21492,0,2203,0,1.072
2011-08-01,新北市,81706,30006,2308,33342,16050,0.675
2001-06-01,臺南縣,32212,30216,0,1996,0,0.97
2011-08-01,臺北市,81613,32312,1250,40385,7666,0.998
2001-06-01,高雄市,81362,74923,0,6439,0,0.996
2011-08-01,桃園市,59536,26665,668,23836,8367,0.956
2001-06-01,高雄市(舊),47409,43272,0,4138,0,1.058
2011-08-01,臺中市,66415,33521,1387,25558,5949,0.806
2001-06-01,高雄縣,33952,31651,0,2301,0,0.922
2011-08-01,臺南市,53847,25519,896,21873,5558,0.926
2001-06-01,宜蘭縣,13714,12758,0,957,0,0.982
2011-08-01,高雄市,85132,40664,1561,35793,7115,0.99
2001-06-01,新竹縣,13359,12674,0,685,0,1.014
2011-08-01,宜蘭縣,14424,5888,290,5668,2579,1.013
2001-06-01,苗栗縣,16515,15380,0,1135,0,1.003
2011-08-01,新竹縣,14602,7939,18,5467,1179,0.913
2001-06-01,彰化縣,34089,32264,0,1826,0,0.867
2011-08-01,苗栗縣,14434,7593,166,5531,1144,0.83
2001-06-01,南投縣,13391,12703,0,688,0,0.833
2011-08-01,彰化縣,38805,22220,565,11629,4391,0.96
2001-06-01,雲林縣,20476,19098,0,1378,0,0.92
2011-08-01,南投縣,14987,7798,96,5361,1733,0.923
2001-06-01,嘉義縣,15421,14514,0,907,0,0.917
2011-08-01,雲林縣,16309,10414,186,4403,1306,0.736
2001-06-01,屏東縣,28431,27303,0,1128,0,1.047
2011-08-01,嘉義縣,15985,9729,301,5123,833,0.956
2001-06-01,臺東縣,9088,7834,0,1254,0,1.264
2011-08-01,屏東縣,22804,14112,509,6906,1277,0.848
2001-06-01,花蓮縣,14465,13565,0,899,0,1.376
2011-08-01,臺東縣,6941,3884,136,2333,588,0.978
2001-06-01,澎湖縣,3653,3327,0,325,0,1.35
2011-08-01,花蓮縣,8961,4552,156,3452,801,0.857
2001-06-01,基隆市,11660,9729,0,1931,0,0.998
2011-08-01,澎湖縣,3093,1663,75,1005,350,1.032
2001-06-01,新竹市,12863,11466,0,1397,0,1.156
2011-08-01,基隆市,12248,5707,223,5293,1024,1.036
2001-06-01,嘉義市,9265,9028,0,237,0,1.158
2011-08-01,新竹市,12957,6116,412,5191,1237,1.001
2001-06-01,金門縣,2e3,1881,0,118,0,1.199
2011-08-01,嘉義市,8196,3854,275,3160,907,0.972
2001-06-01,連江縣,0,0,0,0,0,0
2011-08-01,金門縣,1674,962,45,519,148,0.536
2001-07-01,新北市,108200,103175,0,5025,0,0.972
2011-08-01,連江縣,521,215,49,157,100,1.682
2001-07-01,臺北市,69876,65245,0,4631,0,0.854
2011-09-01,新北市,81571,33292,2637,30763,14879,0.696
2001-07-01,桃園市,56597,53407,0,3190,0,1.048
2011-09-01,臺北市,80854,30879,1347,41143,7485,1.021
2001-07-01,臺中市,59515,50909,0,8606,0,0.777
2011-09-01,桃園市,56023,24201,708,23185,7929,0.929
2001-07-01,臺中市(舊),20638,15979,0,4659,0,0.684
2011-09-01,臺中市,66741,33874,1411,25668,5788,0.837
2001-07-01,臺中縣,38877,34930,0,3947,0,0.838
2011-09-01,臺南市,52536,24809,1036,21450,5241,0.934
2001-07-01,臺南市,55180,50319,0,4861,0,0.965
2011-09-01,高雄市,81417,38147,1265,36218,5787,0.979
2001-07-01,臺南市(舊),23749,20848,0,2901,0,1.037
2011-09-01,宜蘭縣,14197,5701,324,5573,2599,1.03
2001-07-01,臺南縣,31431,29470,0,1961,0,0.916
2011-09-01,新竹縣,13760,7521,27,5050,1161,0.888
2001-07-01,高雄市,83611,76826,0,6786,0,0.991
2011-09-01,苗栗縣,13992,7360,212,5436,984,0.831
2001-07-01,高雄市(舊),48011,43834,0,4177,0,1.037
2011-09-01,彰化縣,36008,19353,519,11766,4371,0.921
2001-07-01,高雄縣,35600,32991,0,2609,0,0.936
2011-09-01,南投縣,14270,7501,178,4901,1691,0.908
2001-07-01,宜蘭縣,15024,13607,0,1417,0,1.04
2011-09-01,雲林縣,16555,10219,191,4924,1221,0.772
2001-07-01,新竹縣,14337,13163,0,1175,0,1.052
2011-09-01,嘉義縣,15997,9421,306,5464,805,0.989
2001-07-01,苗栗縣,16613,15508,0,1105,0,0.977
2011-09-01,屏東縣,22826,13838,485,7222,1281,0.878
2001-07-01,彰化縣,33001,31257,0,1744,0,0.813
2011-09-01,臺東縣,6709,3807,139,2100,663,0.978
2001-07-01,南投縣,13348,12604,0,744,0,0.801
2011-09-01,花蓮縣,8866,4529,124,3444,769,0.877
2001-07-01,雲林縣,20926,19370,0,1555,0,0.91
2011-09-01,澎湖縣,3106,1576,74,1128,327,1.071
2001-07-01,嘉義縣,15275,14349,0,926,0,0.886
2011-09-01,基隆市,12205,5526,249,5396,1034,1.068
2001-07-01,屏東縣,28979,27571,0,1408,0,1.032
2011-09-01,新竹市,12711,6066,341,5091,1213,1.013
2001-07-01,臺東縣,8815,7635,0,1181,0,1.187
2011-09-01,嘉義市,8788,4435,282,3181,891,1.078
2001-07-01,花蓮縣,19014,18100,0,913,0,1.753
2011-09-01,金門縣,1796,1060,36,556,144,0.589
2001-07-01,澎湖縣,3321,2926,0,395,0,1.182
2011-09-01,連江縣,486,191,52,154,89,1.615
2001-07-01,基隆市,12018,9662,0,2357,0,0.994
2011-10-01,新北市,86507,33649,2532,35048,15277,0.714
2001-07-01,新竹市,12824,11387,0,1438,0,1.115
2011-10-01,臺北市,81257,31073,1289,41158,7737,0.992
2001-07-01,嘉義市,9775,9541,0,233,0,1.18
2011-10-01,桃園市,55436,23193,695,23946,7602,0.889
2001-07-01,金門縣,1842,1748,0,93,0,1.065
2011-10-01,臺中市,64381,31750,1154,25739,5737,0.781
2001-07-01,連江縣,0,0,0,0,0,0
2011-10-01,臺南市,51194,22802,1352,21524,5515,0.88
2001-08-01,新北市,103163,98075,0,5088,0,0.926
2011-10-01,高雄市,81978,37464,1230,36680,6603,0.954
2001-08-01,臺北市,67898,62687,0,5211,0,0.83
2011-10-01,宜蘭縣,13983,5464,363,5543,2612,0.982
2001-08-01,桃園市,54057,50797,0,3260,0,0.996
2011-10-01,新竹縣,13911,7573,16,5168,1154,0.868
2001-08-01,臺中市,66331,56831,0,9500,0,0.874
2011-10-01,苗栗縣,13451,7108,141,5230,973,0.773
2001-08-01,臺中市(舊),24149,18851,0,5298,0,0.799
2011-10-01,彰化縣,34184,18248,609,10974,4352,0.846
2001-08-01,臺中縣,42182,37980,0,4202,0,0.924
2011-10-01,南投縣,14022,7038,181,5068,1734,0.864
2001-08-01,臺南市,54448,49125,0,5323,0,0.953
2011-10-01,雲林縣,15844,9758,240,4571,1275,0.716
2001-08-01,臺南市(舊),23214,20023,0,3191,0,1.016
2011-10-01,嘉義縣,15961,9378,329,5411,843,0.956
2001-08-01,臺南縣,31234,29102,0,2132,0,0.911
2011-10-01,屏東縣,21484,12780,417,7004,1283,0.8
2001-08-01,高雄市,78439,71508,0,6931,0,0.93
2011-10-01,臺東縣,6330,3571,105,2058,596,0.893
2001-08-01,高雄市(舊),43162,38826,0,4336,0,0.932
2011-10-01,花蓮縣,8539,4517,121,3257,644,0.818
2001-08-01,高雄縣,35277,32682,0,2595,0,0.927
2011-10-01,澎湖縣,2939,1507,76,1040,316,0.979
2001-08-01,宜蘭縣,14230,12915,0,1314,0,0.985
2011-10-01,基隆市,12316,5507,250,5549,1010,1.044
2001-08-01,新竹縣,13328,12234,0,1093,0,0.977
2011-10-01,新竹市,12007,6162,218,4511,1116,0.925
2001-08-01,苗栗縣,17595,16445,0,1150,0,1.033
2011-10-01,嘉義市,8365,4090,319,3065,891,0.993
2001-08-01,彰化縣,34792,33044,0,1748,0,0.857
2011-10-01,金門縣,1623,908,43,538,135,0.511
2001-08-01,南投縣,14045,13007,0,1038,0,0.843
2011-10-01,連江縣,558,192,47,156,162,1.786
2001-08-01,雲林縣,20208,18904,0,1304,0,0.879
2011-11-01,新北市,85520,32334,2842,35792,14552,0.729
2001-08-01,嘉義縣,14805,13879,0,926,0,0.858
2011-11-01,臺北市,79462,29684,1173,41105,7500,1.001
2001-08-01,屏東縣,26889,25827,0,1062,0,0.958
2011-11-01,桃園市,44390,13195,642,22838,7714,0.736
2001-08-01,臺東縣,9263,7938,0,1326,0,1.248
2011-11-01,臺中市,64365,31474,1206,26101,5583,0.806
2001-08-01,花蓮縣,18870,17730,0,1140,0,1.739
2011-11-01,臺南市,49086,22004,1262,20316,5504,0.872
2001-08-01,澎湖縣,2948,2579,0,369,0,1.046
2011-11-01,高雄市,77983,35197,1167,35222,6397,0.937
2001-08-01,基隆市,11859,9589,0,2271,0,0.98
2011-11-01,宜蘭縣,13583,5192,350,5468,2574,0.986
2001-08-01,新竹市,12477,11036,0,1440,0,1.083
2011-11-01,新竹縣,13968,7327,22,5454,1166,0.9
2001-08-01,嘉義市,10156,9621,0,535,0,1.223
2011-11-01,苗栗縣,13704,7229,127,5216,1132,0.813
2001-08-01,金門縣,2046,1864,0,181,0,1.175
2011-11-01,彰化縣,33955,18356,367,10935,4297,0.869
2001-08-01,連江縣,0,0,0,0,0,0
2011-11-01,南投縣,14028,6999,259,5095,1674,0.894
