序號,統計期,統計區,"總計 (公噸)","紙類及紙製品 (公噸)","金屬類 (公噸)","塑膠及橡膠製品 (公噸)","玻璃製品 (公噸)","紡織品 (公噸)","家電用品 (公噸)","電池 (公噸)","資訊及通信物品 (公噸)","農藥容器及特殊環境用藥容器 (公噸)","食用油 (公噸)","其他 (公噸)"
2123,"91年 11月",嘉義市,606,270,75,107,114,31,3,1,1,0,0,6
2124,"103年 9月",高雄市,"34,796","16,412","6,588","2,825","3,033",923,532,275,276,6,0,"3,927"
2125,"91年 11月",金門縣,273,110,60,46,5,0,2,1,0,0,0,48
2126,"103年 9月",宜蘭縣,"5,565","2,946","1,140",623,537,144,66,19,14,4,0,72
2127,"91年 11月",連江縣,0,0,0,0,0,0,0,0,0,0,0,0
2128,"103年 9月",新竹縣,"6,704","3,042","2,207",770,457,38,96,42,28,0,0,24
2129,"91年 12月",新北市,"9,151","5,278","1,471","1,156",605,269,132,49,43,0,0,148
2130,"103年 9月",苗栗縣,"5,668","2,237","1,606",699,790,72,129,38,44,3,0,49
2131,"91年 12月",臺北市,"19,050","11,798","5,000","1,014",665,289,9,33,3,0,0,238
2132,"103年 9月",彰化縣,"13,665","7,682","1,672","1,387","1,668",556,248,44,57,8,0,342
2133,"91年 12月",桃園市,"6,626","2,934",753,416,446,83,41,111,17,0,0,"1,824"
2134,"103年 9月",南投縣,"6,317","3,421","1,178",946,455,64,122,47,42,4,0,40
2135,"91年 12月",臺中市,"11,345","4,074","1,593",766,"1,070",100,62,45,22,0,0,"3,614"
2136,"103年 9月",雲林縣,"5,958","2,587","1,653",641,617,57,264,74,27,14,0,24
2137,"91年 12月",臺中市(舊),"6,605","2,337",597,289,592,61,33,26,17,0,0,"2,654"
2138,"103年 9月",嘉義縣,"6,374","2,110","2,233",991,689,166,46,17,10,5,0,107
2139,"91年 12月",臺中縣,"4,740","1,738",996,477,478,39,29,19,4,0,0,961
2140,"103年 9月",屏東縣,"8,970","3,594","2,221","1,275","1,012",115,339,148,32,7,0,227
2141,"91年 12月",臺南市,"6,396","2,972",893,"1,539",438,183,52,38,24,0,0,258
2142,"103年 9月",臺東縣,"2,514",823,285,904,416,7,14,16,3,15,0,31
2143,"91年 12月",臺南市(舊),"3,757","1,847",402,"1,179",221,63,20,9,8,0,0,8
2144,"103年 9月",花蓮縣,"3,690","2,114",584,530,330,30,34,17,10,1,0,39
2145,"91年 12月",臺南縣,"2,640","1,125",491,360,217,120,32,29,16,0,0,250
2146,"103年 9月",澎湖縣,"1,110",655,74,113,214,17,11,9,6,1,0,11
2147,"91年 12月",高雄市,"9,725","4,288","2,125","1,269","1,287",127,126,28,31,0,0,444
2148,"103年 9月",基隆市,"5,793","3,571",673,388,814,29,57,4,29,0,0,226
