序號,統計期,統計區,"總計 (公噸)","一般垃圾 (公噸)","巨大垃圾 (公噸)","資源垃圾 (公噸)","廚餘 (公噸)","平均每人每日一般廢棄物產生量 (公斤)"
205,"100年 4月",臺東縣,"6,422","4,051",114,"1,771",486,0.931
206,"90年 3月",嘉義縣,"16,661","15,750",0,911,0,0.958
207,"100年 4月",花蓮縣,"8,119","4,226",61,"3,053",780,0.8
208,"90年 3月",屏東縣,"26,591","25,450",0,"1,141",0,0.947
209,"100年 4月",澎湖縣,"2,809","1,530",63,903,312,0.968
210,"90年 3月",臺東縣,"8,641","7,781",0,860,0,1.146
211,"100年 4月",基隆市,"11,372","5,303",209,"4,795","1,065",0.991
212,"90年 3月",花蓮縣,"13,819","13,011",0,808,0,1.268
213,"100年 4月",新竹市,"11,931","5,864",311,"4,684","1,071",0.955
214,"90年 3月",澎湖縣,"3,068","2,833",0,236,0,1.103
215,"100年 4月",嘉義市,"8,670","4,372",239,"3,119",940,1.062
216,"90年 3月",基隆市,"11,996","9,883",0,"2,112",0,0.995
217,"100年 4月",金門縣,"1,586",885,31,533,138,0.537
218,"90年 3月",新竹市,"13,538","11,854",0,"1,685",0,1.183
219,"100年 4月",連江縣,481,217,32,130,103,1.608
220,"90年 3月",嘉義市,"8,768","8,503",0,265,0,1.061
221,"100年 5月",新北市,"88,558","31,188","2,319","38,383","16,668",0.732
222,"90年 3月",金門縣,"2,039","1,878",0,160,0,1.112
223,"100年 5月",臺北市,"81,356","32,155","1,123","40,368","7,709",0.997
224,"90年 3月",連江縣,0,0,0,0,0,0
225,"100年 5月",桃園市,"49,952","19,893",584,"21,995","7,480",0.804
226,"90年 4月",新北市,"101,620","97,380",0,"4,241",0,0.948
227,"100年 5月",臺中市,"64,756","33,056","1,029","24,670","6,001",0.787
228,"90年 4月",臺北市,"67,347","63,698",0,"3,649",0,0.849
229,"100年 5月",臺南市,"58,118","28,003","1,414","23,064","5,637",1.001
230,"90年 4月",桃園市,"53,982","50,973",0,"3,010",0,1.04
231,"90年 4月",臺中市,"59,677","51,436",0,"8,241",0,0.824
232,"100年 5月",高雄市,"85,239","43,591","1,710","32,733","7,206",0.992
233,"90年 4月",臺中市(舊),"21,946","17,411",0,"4,535",0,0.756
234,"100年 5月",宜蘭縣,"14,392","5,957",273,"5,570","2,592",1.01
235,"90年 4月",臺中縣,"37,731","34,025",0,"3,705",0,0.87
236,"100年 5月",新竹縣,"13,679","7,817",16,"4,720","1,126",0.858
237,"90年 4月",臺南市,"53,711","49,869",0,"3,842",0,0.972
238,"100年 5月",苗栗縣,"14,481","7,794",135,"5,538","1,015",0.833
239,"90年 4月",臺南市(舊),"21,925","20,047",0,"1,878",0,0.993
240,"100年 5月",彰化縣,"37,754","21,474",459,"11,274","4,547",0.933
241,"90年 4月",臺南縣,"31,786","29,822",0,"1,964",0,0.958
242,"100年 5月",南投縣,"13,765","7,533",84,"4,414","1,734",0.846
243,"90年 4月",高雄市,"75,413","69,407",0,"6,007",0,0.923
244,"100年 5月",雲林縣,"16,390","10,492",174,"4,413","1,311",0.738
245,"90年 4月",高雄市(舊),"43,245","39,376",0,"3,868",0,0.965
246,"100年 5月",嘉義縣,"15,113","9,524",208,"4,514",866,0.901
247,"90年 4月",高雄縣,"32,169","30,030",0,"2,138",0,0.872
248,"100年 5月",屏東縣,"22,455","13,765",260,"6,983","1,446",0.832
249,"90年 4月",宜蘭縣,"13,715","12,712",0,"1,003",0,0.983
250,"100年 5月",臺東縣,"6,556","4,140",83,"1,809",523,0.92
251,"90年 4月",新竹縣,"13,502","12,214",0,"1,288",0,1.027
252,"100年 5月",花蓮縣,"8,807","4,540",107,"3,326",833,0.841
253,"90年 4月",苗栗縣,"15,852","14,742",0,"1,109",0,0.963
254,"100年 5月",澎湖縣,"3,047","1,704",71,931,342,1.017
255,"90年 4月",彰化縣,"31,801","29,962",0,"1,839",0,0.812
256,"100年 5月",基隆市,"11,913","5,700",197,"4,912","1,104",1.005
257,"90年 4月",南投縣,"12,514","11,936",0,578,0,0.781
258,"100年 5月",新竹市,"12,609","6,151",352,"4,895","1,211",0.976
259,"90年 4月",雲林縣,"20,005","18,705",0,"1,300",0,0.9
260,"100年 5月",嘉義市,"9,171","4,746",210,"3,302",913,1.087
261,"90年 4月",嘉義縣,"16,462","15,486",0,976,0,0.979
262,"100年 5月",金門縣,"1,708","1,003",39,503,162,0.557
263,"90年 4月",屏東縣,"27,117","26,003",0,"1,114",0,0.998
264,"100年 5月",連江縣,524,221,42,139,121,1.693
265,"90年 4月",臺東縣,"8,894","7,678",0,"1,217",0,1.227
266,"100年 6月",新北市,"90,620","32,246","2,315","39,257","16,802",0.774
267,"90年 4月",花蓮縣,"12,419","11,623",0,796,0,1.178
268,"100年 6月",臺北市,"81,765","31,799","1,192","40,690","8,084",1.035
269,"90年 4月",澎湖縣,"2,666","2,397",0,269,0,0.989
270,"100年 6月",桃園市,"56,808","25,851",639,"22,740","7,578",0.944
271,"90年 4月",基隆市,"12,036","10,268",0,"1,768",0,1.031
272,"100年 6月",臺中市,"64,798","32,645",949,"25,052","6,152",0.814
273,"90年 4月",新竹市,"12,319","10,954",0,"1,365",0,1.11
274,"100年 6月",臺南市,"52,733","25,492","1,373","20,540","5,327",0.938
275,"90年 4月",嘉義市,"8,819","8,645",0,174,0,1.102
276,"100年 6月",高雄市,"82,502","41,097","1,570","32,668","7,167",0.992
277,"100年 6月",宜蘭縣,"14,459","5,965",239,"5,658","2,598",1.049
278,"90年 4月",金門縣,"2,004","1,885",0,119,0,1.123
279,"100年 6月",新竹縣,"14,209","7,999",22,"5,035","1,153",0.92
280,"90年 4月",連江縣,0,0,0,0,0,0
281,"100年 6月",苗栗縣,"15,130","8,190",126,"5,558","1,255",0.899
282,"90年 5月",新北市,"109,071","104,264",0,"4,806",0,0.982
283,"100年 6月",彰化縣,"38,163","21,764",513,"11,389","4,497",0.975
284,"90年 5月",臺北市,"74,970","69,131",0,"5,839",0,0.915
285,"100年 6月",南投縣,"13,903","7,371",69,"4,747","1,716",0.883
