序號,統計期,統計區,"總計 (公噸)","一般垃圾 (公噸)","巨大垃圾 (公噸)","資源垃圾 (公噸)","廚餘 (公噸)","平均每人每日一般廢棄物產生量 (公斤)"
148,"106年 4月",桃園市,"67,766","25,697",35,"40,216","1,818",1.046
149,95年,桃園市,"694,076","397,297","7,131","219,990","69,658",1.003
150,"106年 5月",桃園市,"64,019","23,083",35,"39,027","1,874",0.955
151,"95年 1月",桃園市,"62,100","38,409","1,001","17,451","5,239",1.065
152,"106年 6月",桃園市,"82,483","40,074",37,"40,506","1,867",1.27
153,"106年 7月",桃園市,"76,594","34,527",39,"40,267","1,761",1.139
154,"95年 2月",桃園市,"54,629","33,025",390,"16,087","5,127",1.036
155,"106年 8月",桃園市,"76,209","33,488",38,"40,800","1,883",1.131
156,"95年 3月",桃園市,"55,696","34,482",488,"15,621","5,106",0.953
157,"106年 9月",桃園市,"76,382","33,446",38,"40,899","1,999",1.17
158,"95年 4月",桃園市,"53,621","30,784",486,"16,750","5,602",0.947
159,"106年 10月",桃園市,"74,176","31,243",31,"40,921","1,981",1.098
160,"106年 11月",桃園市,"75,418","30,916",807,"41,831","1,863",1.152
161,"95年 5月",桃園市,"54,629","33,078",599,"15,162","5,790",0.933
162,"106年 12月",桃園市,"75,145","32,623",26,"40,602","1,893",1.109
163,"95年 6月",桃園市,"60,302","33,506",589,"19,729","6,477",1.063
164,107年,桃園市,"1,049,837","449,491","1,917","566,452","31,977",1.305
165,"95年 7月",桃園市,"60,105","34,169",596,"19,729","5,611",1.023
166,"107年 1月",桃園市,"79,644","37,460",28,"40,240","1,916",1.173
167,"95年 8月",桃園市,"59,217","32,990",592,"19,819","5,816",1.006
168,"107年 2月",桃園市,"75,286","33,887",18,"39,576","1,804",1.227
169,"107年 3月",桃園市,"87,985","37,250",298,"48,021","2,416",1.293
170,"95年 9月",桃園市,"56,644","31,319",624,"18,801","5,900",0.993
171,"107年 4月",桃園市,"76,297","31,622",149,"42,108","2,419",1.157
172,"95年 10月",桃園市,"58,704","32,050",593,"19,881","6,179",0.995
173,"107年 5月",桃園市,"80,058","33,498",188,"43,781","2,591",1.174
174,"95年 11月",桃園市,"58,812","31,389",630,"20,469","6,325",1.028
175,"107年 6月",桃園市,"88,589","39,846",214,"45,713","2,816",1.34
176,"95年 12月",桃園市,"59,617","32,097",543,"20,491","6,486",1.007
177,"107年 7月",桃園市,"89,016","39,770",272,"46,268","2,706",1.301
178,"107年 8月",桃園市,"94,638","41,979",129,"49,682","2,848",1.382
179,96年,桃園市,"717,965","377,335","8,508","248,821","83,302",1.023
180,"107年 9月",桃園市,"92,868","37,116",461,"52,308","2,982",1.399
181,"96年 1月",桃園市,"60,689","32,239",706,"21,258","6,485",1.024
182,"107年 10月",桃園市,"93,388","36,330",21,"53,948","3,089",1.36
183,"96年 2月",桃園市,"60,558","32,049",859,"21,414","6,236",1.13
184,"107年 11月",桃園市,"89,818","33,541",101,"53,050","3,126",1.351
185,"107年 12月",桃園市,"102,251","47,191",39,"51,757","3,264",1.486
186,"96年 3月",桃園市,"61,186","31,333",563,"22,655","6,636",1.031
187,108年,桃園市,"1,205,645","459,132","1,581","710,624","34,308",1.478
188,"96年 4月",桃園市,"60,588","31,295",538,"21,937","6,818",1.054
189,"108年 1月",桃園市,"101,879","42,981",20,"56,066","2,812",1.479
190,"96年 5月",桃園市,"62,421","32,739",784,"21,647","7,251",1.05
191,"108年 2月",桃園市,"93,152","36,766",17,"53,566","2,803",1.495
192,"96年 6月",桃園市,"64,623","33,551",688,"22,406","7,978",1.122
